clean_text,category,location,status,date,name,contact
black sport earbuds,earbuds,ab3,lost,06/01/2025 14:53,Mudassir Ali,3601905352
brown spiral notebook,notebook,parking,lost,07/11/2025 19:02,Rizwan Ali,3716993237
black university id card,id_card,hostel,lost,28/02/2025 19:04,Ahmed Raza,3276888651
black android Vivo phone,phone,mosque,found,06/05/2025 8:48,Yasir Khan,3977761481
black university id card,id_card,love garden,lost,26/11/2025 10:59,Kamran Ahmed,3980088209
brown access id card,id_card,garden,lost,21/01/2025 10:45,Noor Fatima,3910908842
black cracked Vivo phone,phone,ab3,lost,17/03/2025 19:51,Zubair Ahmed,3305287095
black tote bag,bag,hostel,lost,08/05/2025 9:06,Bilawal Ali,3449640215
brown travel umbrella,umbrella,ab3,lost,13/03/2025 20:04,Usman Ali,3403277687
black shoulder bag,bag,ab3,found,27/04/2026 12:54,Shahzaib Ali,3542139630
brown solar calculator,calculator,ab5,lost,14/12/2024 0:14,Bilawal Ali,3464198608
apple watch black,watch,parking,lost,17/02/2025 19:02,Aiman Ali,3560729881
black university id card,id_card,canteen,lost,22/12/2024 15:06,Adeel Khan,3956818696
black bifold wallet,wallet,parking,lost,21/08/2025 12:49,Yasir Khan,3773750747
black zipped wallet,wallet,garden,found,23/02/2025 2:29,Fahad Khan,3438522004
brown access id card,id_card,garden,lost,02/03/2025 15:51,Aiman Ali,3698557374
black slim wallet,wallet,hostel,lost,22/01/2025 12:38,Waqar Ali,3180864107
black tagged keys,keys,ab5,lost,07/10/2025 15:50,Naila Khan,3230412475
black cable charger,charger,ab3,lost,08/10/2025 15:50,Fahad Khan,3830314003
black in-ear earbuds,earbuds,ab4,found,30/09/2025 17:17,Yasir Khan,3210225002
black wireless earbuds,earbuds,ab2,lost,16/04/2025 13:24,Noor Fatima,3360019997
brown pocket notebook,notebook,ab2,lost,10/09/2025 22:25,Mudassir Ali,3178562176
black framed glasses,glasses,garden,lost,25/02/2026 13:25,Kinza Ahmed,3427454777
black touchscreen Vivo phone,phone,garden,lost,30/09/2025 10:38,Taha Ali,3338663963
black tote bag,bag,love garden,lost,13/12/2024 22:33,Rehan Khan,3402210992
brown bag lenovo thinkpad,bag,canteen,lost,27/04/2026 19:50,Rukhsar Khan,3698944336
black compact umbrella,umbrella,ab2,found,06/01/2025 15:33,Amna Ali,3288499047
black lined notebook,notebook,canteen,found,11/02/2025 22:27,Hafsa Ali,3366904037
black usb 32gb,usb,ab3,lost,28/01/2025 15:28,Umar Khan,3173158633
brown student id card,id_card,love garden,lost,31/12/2024 10:40,Hadia Khan,3662917672
black business laptop,laptop,ab2,lost,24/02/2025 15:22,Akram Ahmed,3727148345
brown zipper bag,bag,ab1,lost,06/04/2026 22:48,Akram Ahmed,3132677990
brown portable laptop,laptop,mosque,lost,15/02/2025 17:26,Mahnoor Ali,3365928565
black slim Vivo phone,phone,ab5,lost,30/12/2024 0:30,Shahzaib Ali,3580229491
black small umbrella,umbrella,library,lost,12/02/2025 16:15,Sana Malik,3615607577
black plastic bottle,bottle,hostel,lost,03/01/2025 15:58,Kinza Ahmed,3254361563
brown framed glasses,glasses,library,found,06/02/2025 17:46,Adnan Khan,3836686077
brown pocket calculator,calculator,cc,lost,30/01/2026 13:42,Kashif Ali,3773161066
black android Vivo phone,phone,garden,lost,07/01/2025 14:47,Waqar Ali,3962337361
black basic calculator,calculator,library,lost,06/03/2025 22:02,Rida Ali,3667063714
brown compact earbuds,earbuds,ab3,lost,16/04/2025 18:50,Fiza Ahmed,3443675935
black cracked Vivo phone,phone,ab5,lost,23/01/2025 19:24,Shagufta Ahmed,3317439145
brown portable umbrella,umbrella,ab5,lost,03/01/2025 0:32,Sara Ahmed,3972757468
brown drawstring bag,bag,ab4,lost,10/02/2025 15:43,Kiran Malik,3895900942
brown spiral notebook,notebook,parking,lost,28/11/2025 9:19,Mahnoor Ali,3731680599
black university id card,id_card,love garden,lost,17/06/2025 15:10,Mehwish Khan,3637644519
black access id card,id_card,ab3,lost,29/01/2025 13:57,Qasim Ahmed,3401546866
brown android Vivo phone,phone,mosque,lost,06/02/2025 20:32,Sara Ahmed,3835334000
black sport watch,watch,mosque,lost,12/01/2025 22:50,Maham Ali,3523263224
brown steel bottle,bottle,parking,lost,11/02/2025 12:09,Minal Ahmed,3210851452
brown leather-strap watch,watch,mosque,found,26/04/2025 16:50,Huma Ali,3466492301
black slim Vivo phone,phone,ab1,lost,14/12/2024 18:55,Zain Khan,3701800076
black wrist watch,watch,parking,lost,03/01/2025 14:17,Kinza Ahmed,3103679087
black hard-cover notebook,notebook,love garden,lost,12/11/2024 14:57,Fatima Ali,3888553848
black card wallet,wallet,library,lost,06/11/2024 14:00,Asad Ahmed,3358939317
black cracked samsung phone,phone,ab4,lost,05/01/2025 14:32,Sajid Khan,3684181820
brown slim wallet,wallet,library,found,14/07/2025 14:02,Nasir Khan,3734932165
brown drawstring bag,bag,library,lost,04/01/2025 19:19,Rida Ali,3886310936
brown student id card,id_card,cc,lost,24/01/2025 18:06,Huzaifa Ahmed,3713237214
brown dual-sim samsung phone,phone,ab5,lost,23/04/2025 22:11,Taha Ali,3417040555
brown wall charger,charger,ab1,lost,17/02/2026 16:58,Shazia Ali,3438072891
brown photo id card,id_card,canteen,lost,11/02/2025 12:05,Taha Ali,3118565084
brown portable charger,charger,parking,lost,30/08/2025 10:33,Mudassir Ali,3816766330
black portable laptop,laptop,ab4,lost,12/09/2025 21:20,Sana Malik,3496114063
brown rimless glasses,glasses,hostel,found,06/12/2024 11:05,Salman Khan,3733995513
black handheld calculator,calculator,canteen,lost,28/02/2025 17:00,Adeel Khan,3246146037
brown hard-cover notebook,notebook,garden,lost,07/11/2024 10:27,Kiran Malik,3511761527
black compact earbuds,earbuds,parking,found,10/04/2025 19:58,Sumbul Ahmed,3692186133
brown plastic bottle,bottle,cc,found,02/01/2025 12:33,Iqra Khan,3703289000
brown drawstring bag,bag,mosque,lost,05/12/2024 13:40,Kamran Ahmed,3197635202
brown in-ear earbuds,earbuds,ab4,found,09/04/2026 14:54,Nadia Ali,3301459273
brown slim samsung phone,phone,parking,lost,02/01/2025 12:50,Ahmed Raza,3583923488
black handheld calculator,calculator,hostel,lost,29/11/2024 14:18,Rehan Khan,3893139828
brown fast charger,charger,cc,lost,30/12/2024 16:07,Rida Ali,3384995268
brown bifold wallet,wallet,ab2,found,15/12/2025 14:09,Aiman Ali,3431126721
brown android samsung phone,phone,ab3,lost,12/11/2024 11:51,Waleed Ahmed,3110522613
black travel umbrella,umbrella,ab1,lost,09/12/2024 16:54,Aiman Ali,3703283537
black touchscreen samsung phone,phone,ab2,lost,12/05/2025 20:03,Kiran Malik,3438698117
black slim laptop,laptop,mosque,lost,06/02/2025 17:34,Bushra Ahmed,3697161189
black portable laptop,laptop,ab3,lost,07/02/2025 17:34,Sidra Khan,3640106241
brown tinted glasses,glasses,ab2,lost,13/11/2025 19:48,Rehan Khan,3688195943
black wall charger,charger,garden,lost,03/01/2025 17:58,Umar Khan,3537301526
brown access id card,id_card,garden,lost,18/11/2024 14:33,Huma Ali,3592369659
black wall charger,charger,canteen,lost,27/03/2025 19:30,Maham Ali,3248847326
brown photo id card,id_card,love garden,lost,30/01/2025 12:02,Zain Khan,3610879275
black leather wallet,wallet,cc,lost,13/12/2024 15:54,Nasir Khan,3302980857
eyeglasses,glasses,ab1,lost,28/11/2024 15:00,Yasir Khan,3684067073
black folding umbrella,umbrella,library,found,14/05/2025 23:06,Hassan Ahmed,3297481003
brown prescription glasses,glasses,garden,lost,22/01/2025 13:22,Parveen Ali,3280848069
black card wallet,wallet,ab5,lost,28/02/2025 18:08,Tahira Ahmed,3978144409
brown reading glasses,glasses,canteen,found,03/02/2026 19:11,Asad Ahmed,3581675390
black USB-C charger,charger,mosque,lost,10/04/2025 12:31,Iqra Khan,3932077537
brown zipper bag,bag,ab3,lost,25/11/2024 19:28,Omar Farooq,3441108518
brown reusable bottle,bottle,ab2,lost,14/11/2024 18:47,Samina Ahmed,3911660721
brown photo id card,id_card,ab4,lost,21/11/2024 17:01,Sara Ahmed,3125499980
brown drawstring bag,bag,ab1,lost,17/03/2025 13:56,Anaya Ali,3899810621
brown portable laptop,laptop,ab3,lost,18/11/2024 17:38,Iqra Khan,3423605658
brown used laptop,laptop,ab2,lost,08/11/2024 9:01,Hira Shah,3604389361
brown digital watch,watch,parking,lost,24/10/2025 13:37,Salman Khan,3670133535
brown tinted glasses,glasses,ab5,found,20/11/2024 12:40,Lubna Khan,3178335065
keys brown 32gb,keys,love garden,lost,13/12/2024 12:09,Nimra Khan,3922260642
black university id card,id_card,library,lost,28/11/2024 14:24,Akram Ahmed,3530330298
brown metal keys,keys,ab5,lost,13/11/2024 12:20,Irfan Ali,3629643420
brown touchscreen samsung phone,phone,ab4,lost,07/11/2024 12:48,Amna Ali,3787493945
brown framed glasses,glasses,ab2,lost,25/11/2024 14:10,Mudassir Ali,3515353943
brown flat keys,keys,mosque,lost,13/11/2024 23:11,Mahnoor Ali,3296776274
black touchscreen samsung phone,phone,parking,found,09/12/2024 15:10,Javed Ali,3600748581
black zipper bag,bag,love garden,lost,06/02/2025 16:08,Rauf Ahmed,3433957710
brown noise-cancelling earbuds,earbuds,cc,lost,29/11/2024 9:18,Zubair Ahmed,3421703554
black reading glasses,glasses,canteen,found,13/02/2025 13:12,Amna Ali,3870355852
brown wall charger,charger,ab2,lost,06/12/2024 15:45,Huzaifa Ahmed,3247429123
brown dual-sim samsung phone,phone,ab1,lost,12/11/2024 17:41,Qasim Ahmed,3662685833
brown slim samsung phone,phone,ab1,found,11/12/2024 17:10,Hassan Ahmed,3808091507
black portable usb drive,usb,ab5,lost,19/11/2024 14:44,Tanveer Khan,3300958696
brown photo id card,id_card,love garden,lost,08/11/2024 15:13,Kiran Malik,3210573787
black flat keys,keys,library,found,13/12/2024 13:04,Anaya Ali,3794590302
brown photo id card,id_card,ab5,lost,18/11/2024 9:21,Arslan Khan,3228050043
black university id card,id_card,parking,lost,20/01/2025 17:08,Eman Ali,3679263622
brown zipped wallet,wallet,ab4,lost,27/11/2024 20:52,Mehwish Khan,3461441259
brown access id card,id_card,ab2,lost,26/11/2024 16:58,Maham Ali,3335546406
black hard-cover notebook,notebook,ab5,lost,12/12/2024 17:02,Omar Farooq,3559524538
black compact earbuds,earbuds,ab1,lost,06/11/2024 11:56,Shayan Ali,3712535857
brown canvas bag,bag,canteen,lost,11/12/2024 18:09,Eman Ali,3110116417
black sports bottle,bottle,library,lost,13/11/2024 14:29,Bilal Khan,3769755942
brown used laptop,laptop,ab5,lost,13/12/2024 14:16,Sidra Khan,3449865519
black wall charger,charger,love garden,lost,19/11/2024 1:29,Junaid Ahmed,3719857483
black access id card,id_card,canteen,lost,22/05/2025 11:37,Maham Ali,3491055801
black rimless glasses,glasses,cc,lost,11/11/2024 19:14,Kashif Ali,3515521535
black analog watch,watch,love garden,found,04/12/2024 11:15,Hadia Khan,3331966444
brown plastic bottle,bottle,ab5,lost,13/11/2024 12:01,Anaya Ali,3401227019
brown digital watch,watch,cc,lost,04/12/2024 15:52,Laiba Khan,3723724790
black tote bag,bag,parking,lost,11/12/2024 10:49,Kiran Malik,3449615829
brown bifold wallet,wallet,ab4,lost,17/02/2025 11:04,Sumbul Ahmed,3269431883
black slim samsung phone,phone,mosque,lost,01/03/2025 16:02,Naveed Khan,3959110197
brown university id card,id_card,canteen,lost,30/11/2024 18:42,Naila Khan,3992145764
brown university id card,id_card,ab4,lost,13/11/2024 21:53,Sohail Ali,3644182717
brown travel umbrella,umbrella,love garden,lost,29/11/2024 10:30,Naila Khan,3956046042
black compact usb drive,usb,ab1,lost,08/11/2024 5:46,Aleena Khan,3256845422
black access id card,id_card,ab1,found,01/01/2025 21:25,Alina Khan,3848429867
 black laptop bag,bag,library,lost,25/11/2024 13:10,Salman Khan,3497036447
brown touchscreen samsung phone,phone,library,lost,14/11/2024 13:24,Naila Khan,3263043368
black analog watch,watch,ab5,lost,28/01/2025 19:43,Shazia Ali,3124034899
black compact umbrella,umbrella,love garden,lost,26/11/2024 17:32,Waqar Ali,3304610298
black spiral notebook,notebook,ab3,lost,05/11/2024 23:38,Rizwan Ali,3140853648
black noise-cancelling earbuds,earbuds,ab5,found,03/12/2024 16:10,Shayan Ali,3361000066
black rimless glasses,glasses,parking,lost,15/11/2024 14:13,Naila Khan,3744251925
black sport watch,watch,love garden,lost,14/05/2025 9:40,Asad Ahmed,3342022729
black wall charger,charger,ab3,lost,09/11/2024 11:28,Javed Ali,3889650853
brown steel bottle,bottle,ab2,lost,11/12/2024 10:50,Zain Khan,3594708826
black reusable bottle,bottle,love garden,lost,16/11/2024 11:16,Mahnoor Ali,3158558085
black pocket calculator,calculator,ab4,lost,29/08/2025 10:42,Talha Khan,3148520542
brown slim laptop,laptop,love garden,lost,10/12/2024 12:04,Nasir Khan,3242008299
black bifold wallet,wallet,mosque,lost,04/11/2024 12:18,Sana Malik,3434973757
brown used laptop,laptop,library,lost,02/12/2024 16:04,Ahsan Khan,3264338151
black student id card,id_card,ab3,lost,12/09/2024 10:22,Bushra Ahmed,3628921669
black folding umbrella,umbrella,canteen,lost,22/01/2025 9:10,Hassan Ahmed,3644938195
brown access id card,id_card,mosque,lost,17/10/2024 9:00,Sobia Khan,3927461389
black flat keys,keys,parking,lost,25/11/2024 15:09,Farhan Ahmed,3511606275
black small usb drive,usb,library,lost,22/11/2024 17:03,Kashif Ali,3397257596
brown wrist watch,watch,love garden,lost,08/11/2024 14:23,Umar Khan,3488240568
black portable charger,charger,ab4,lost,25/11/2024 13:40,Sohail Ali,3106204965
brown student id card,id_card,love garden,lost,19/11/2024 14:11,Sajid Khan,3339964978
brown photo id card,id_card,parking,lost,29/01/2025 14:02,Sara Ahmed,3946033108
black in-ear earbuds,earbuds,library,lost,03/12/2024 17:58,Aleena Khan,3581424408
brown in-ear earbuds,earbuds,hostel,found,10/10/2024 21:35,Noman Khan,3605882898
black zipped wallet,wallet,ab3,lost,13/02/2025 21:00,Sajid Khan,3206351536
black dual-sim samsung phone,phone,ab4,found,14/02/2025 21:00,Aleena Khan,3632836589
brown handheld calculator,calculator,library,lost,26/11/2024 13:28,Shazia Ali,3406881102
brown leather-strap watch,watch,ab3,lost,23/10/2025 9:44,Shahzaib Ali,3234418450
brown sport watch,watch,parking,found,05/09/2024 16:54,Hafsa Ali,3875474181
